,estimator,0.005919403,184,0.021901211,3.6662212
2013/5/2,0.012795871,,,,
2013/6/3,-0.013217579,,,,
2013/7/1,0.013032943,,,,
2013/8/1,-0.008710114,,,,
2013/9/2,0.002807699,,,,
2013/10/8,0.012820818,,,,
2013/11/1,0.00516223,,,,
2013/12/2,-0.017334066,,,,
2014/1/2,0.003753687,,,,
2014/2/7,-0.001341858,,,,
2014/3/3,-0.010755435,,,,
2014/4/1,0.000991481,,,,
2014/5/5,0.005417252,,,,
2014/6/3,-0.005751652,,,,
2014/7/1,-0.010165964,,,,
2014/8/1,0.007683853,,,,
2014/9/1,-0.014599072,,,,
2014/10/8,-0.028334095,,,,
2014/11/3,0.010266422,,,,
2014/12/1,0.025570398,,,,
2015/1/5,0.111879173,,,,
2015/2/2,-0.015557837,,,,
2015/3/2,0.001974541,,,,
2015/4/1,-0.016531419,,,,
2015/5/4,0.01836094,,,,
2015/6/1,-0.044248359,,,,
2015/7/1,0.020983417,,,,
2015/8/3,0.029764817,,,,
2015/9/1,0.011343272,,,,
2015/10/8,-0.002517827,,,,
2015/11/2,-0.025959952,,,,
2015/12/1,-0.031401349,,,,
2016/1/4,-0.013683233,,,,
2016/2/1,0.02605419,,,,
2016/3/1,0.00714195,,,,
2016/4/1,-0.018680183,,,,
2016/5/3,-0.012517873,,,,
2016/6/1,0.01522041,,,,
2016/7/1,-0.013073286,,,,
2016/8/1,0.019449622,,,,
2016/9/1,-0.008235901,,,,
2016/10/10,-0.01521178,,,,
2016/11/1,-0.007254949,,,,
2016/12/1,0.002102513,,,,
2017/1/3,-0.003210956,0.011733735,24,0.015327604,3.750313821
2017/2/3,0.019259478,,,,
2017/3/1,-0.010615141,,,,
2017/4/5,0.01842618,,,,
2017/5/2,0.035978258,,,,
2017/6/1,0.027918717,,,,
2017/7/3,0.012400425,,,,
2017/8/1,0.033864164,,,,
2017/9/1,-0.007825482,,,,
2017/10/9,0.002506826,,,,
2017/11/1,0.019509995,,,,
2017/12/1,0.030072504,,,,
2018/1/2,0.015143049,,,,
2018/2/1,0.030921826,,,,
2018/3/1,0.019751408,,,,
2018/4/2,-0.025684119,,,,
2018/5/2,0.010486917,,,,
2018/6/1,0.012270568,,,,
2018/7/2,0.021043792,,,,
2018/8/1,0.00507389,,,,
2018/9/3,0.014047072,,,,
2018/10/8,0.010182216,,,,
2018/11/1,0.000869344,,,,
2018/12/3,-0.010781294,,,,
2019/1/2,0.004644187,0.010454062,18,0.011452765,3.872674035
2019/2/1,0.031845428,,,,
2019/3/1,-0.006332502,,,,
2019/4/1,0.002174821,,,,
2019/5/6,0.014814078,,,,
2019/6/3,-0.006080858,,,,
2019/7/1,0.014169048,,,,
2019/8/1,0.016318624,,,,
2019/9/2,0.013237061,,,,
2019/10/8,0.0021386,,,,
2019/11/1,0.009604552,,,,
2019/12/2,0.013545808,,,,
2020/1/2,0.006248795,,,,
2020/2/3,0.019545891,,,,
2020/3/2,0.022168943,,,,
2020/4/1,-0.008898461,,,,
2020/5/6,0.032069152,,,,
2020/6/1,0.006959943,,,,
